Node Number = 390
Cell Number = 721
1 1 12 11 1
2 1 11 2 2
3 13 2 11 3
4 3 2 13 4
5 14 3 13 5
6 4 3 14 6
7 15 4 14 7
8 15 5 4 8
9 5 15 16 9
10 6 5 16 10
11 16 17 6 11
12 17 7 6 12
13 7 17 18 13
14 8 7 18 14
15 18 19 8 15
16 19 9 8 16
17 20 9 19 17
18 9 20 10 18
19 10 20 21 19
20 22 11 12 20
21 22 23 11 21
22 23 13 11 22
23 12 24 22 23
24 25 13 23 24
25 13 25 14 25
26 14 25 26 26
27 14 26 15 27
28 15 26 27 28
29 16 15 27 29
30 27 28 16 30
31 28 17 16 31
32 29 17 28 32
33 17 29 18 33
34 18 29 30 34
35 30 19 18 35
36 30 31 19 36
37 19 31 20 37
38 21 20 31 38
39 31 32 21 39
40 21 32 33 40
41 24 34 22 41
42 22 34 23 42
43 34 35 23 43
44 25 23 35 44
45 24 37 36 45
46 36 34 24 46
47 25 35 38 47
48 38 26 25 48
49 38 39 26 49
50 27 26 39 50
51 40 27 39 51
52 28 27 40 52
53 40 41 28 53
54 29 28 41 54
55 41 42 29 55
56 42 30 29 56
57 30 42 43 57
58 31 30 43 58
59 43 32 31 59
60 44 32 43 60
61 33 32 44 61
62 45 33 44 62
63 33 45 46 63
64 34 36 47 64
65 35 34 47 65
66 48 35 47 66
67 38 35 48 67
68 49 36 37 68
69 47 36 49 69
70 37 51 50 70
71 49 37 50 71
72 48 52 38 72
73 38 52 39 73
74 53 39 52 74
75 39 53 40 75
76 53 54 40 76
77 54 41 40 77
78 41 54 55 78
79 55 42 41 79
80 56 42 55 80
81 42 56 43 81
82 43 56 44 82
83 56 57 44 83
84 44 57 45 84
85 45 57 58 85
86 58 46 45 86
87 58 59 46 87
88 46 59 60 88
89 47 49 61 89
90 47 61 48 90
91 61 62 48 91
92 48 62 52 92
93 63 49 50 93
94 63 61 49 94
95 51 64 50 95
96 50 64 63 96
97 51 66 65 97
98 51 65 64 98
99 52 62 67 99
100 67 53 52 100
101 68 53 67 101
102 54 53 68 102
103 68 69 54 103
104 69 55 54 104
105 55 69 70 105
106 56 55 70 106
107 70 57 56 107
108 71 57 70 108
109 58 57 71 109
110 58 71 72 110
111 72 59 58 111
112 73 59 72 112
113 60 59 73 113
114 73 74 60 114
115 75 60 74 115
116 61 63 76 116
117 76 62 61 117
118 77 62 76 118
119 67 62 77 119
120 64 78 63 120
121 76 63 78 121
122 64 65 79 122
123 79 78 64 123
124 80 65 66 124
125 80 79 65 125
126 66 82 81 126
127 80 66 81 127
128 67 77 83 128
129 83 68 67 129
130 84 68 83 130
131 68 84 69 131
132 85 69 84 132
133 70 69 85 133
134 85 71 70 134
135 85 86 71 135
136 71 86 72 136
137 72 86 87 137
138 72 87 73 138
139 87 88 73 139
140 73 88 74 140
141 89 74 88 141
142 74 89 75 142
143 75 89 90 143
144 75 90 91 144
145 76 78 92 145
146 92 77 76 146
147 92 93 77 147
148 93 83 77 148
149 78 79 94 149
150 92 78 94 150
151 80 95 79 151
152 79 95 94 152
153 81 96 80 153
154 80 96 95 154
155 81 82 97 155
156 81 97 96 156
157 82 99 98 157
158 82 98 97 158
159 100 83 93 159
160 83 100 84 160
161 101 84 100 161
162 84 101 85 162
163 101 86 85 163
164 86 101 102 164
165 102 87 86 165
166 103 87 102 166
167 88 87 103 167
168 103 104 88 168
169 88 104 89 169
170 89 104 105 170
171 105 90 89 171
172 105 106 90 172
173 91 90 106 173
174 106 107 91 174
175 91 107 108 175
176 109 92 94 176
177 93 92 109 177
178 109 110 93 178
179 100 93 110 179
180 95 111 94 180
181 94 111 109 181
182 112 95 96 182
183 111 95 112 183
184 96 97 113 184
185 96 113 112 185
186 114 97 98 186
187 113 97 114 187
188 99 115 98 188
189 98 115 114 189
190 99 117 116 190
191 116 115 99 191
192 118 100 110 192
193 118 101 100 193
194 102 101 118 194
195 118 119 102 195
196 102 119 103 196
197 119 120 103 197
198 120 104 103 198
199 121 104 120 199
200 105 104 121 200
201 122 105 121 201
202 106 105 122 202
203 122 123 106 203
204 107 106 123 204
205 123 124 107 205
206 108 107 124 206
207 124 125 108 207
208 108 125 126 208
209 109 111 127 209
210 127 110 109 210
211 127 128 110 211
212 110 128 118 212
213 129 111 112 213
214 111 129 127 214
215 112 113 130 215
216 130 129 112 216
217 113 114 131 217
218 131 130 113 218
219 132 114 115 219
220 114 132 131 220
221 116 133 115 221
222 132 115 133 222
223 116 117 134 223
224 134 133 116 224
225 117 136 135 225
